feature,importance
InternetService_Fiber optic,0.7020927220316174
Avg_Revenue_Per_Month,0.5659970285230073
Contract_Two year,0.5651205439175737
tenure,0.4601752781244447
Contract_One year,0.2766749957819083
StreamingMovies_Yes,0.26730115685634975
StreamingTV_Yes,0.24130285062109064
MultipleLines_Yes,0.23616100459639053
PaymentMethod_Electronic check,0.17371747471842888
PaperlessBilling_Yes,0.1693151366203459
OnlineSecurity_Yes,0.10790805083698428
Tenure_0-6 Months,0.10556434436056178
Dependents_Yes,0.10130583465699206
TechSupport_Yes,0.08121962880283515
Tenure_2-4 Years,0.07964915800503931
StreamingMovies_No internet service,0.0690264804355273
DeviceProtection_No internet service,0.0690264804355273
StreamingTV_No internet service,0.0690264804355273
OnlineBackup_No internet service,0.0690264804355273
OnlineSecurity_No internet service,0.0690264804355273
InternetService_No,0.0690264804355273
TechSupport_No internet service,0.0690264804355273
SeniorCitizen,0.05950886739014833
DeviceProtection_Yes,0.05374262585574467
Tenure_1-2 Years,0.049015508057020804
OnlineBackup_Yes,0.02188738681085526
Has_Family,0.020211102309540877
MonthlyCharges,0.019445113752317406
TotalCharges_1099.6,0.01693823045000055
TotalCharges_740.3,0.016086688393591505
gender_Male,0.01536552297550422
TotalCharges_19.9,0.013760587475544359
TotalCharges_3326.2,0.01223996546296095
TotalCharges_4990.25,0.011728553006093122
TotalCharges_1077.5,0.011531281699082746
PhoneService_Yes,0.011436487406655376
TotalCharges_6341.45,0.011294381550723374
TotalCharges_20.9,0.011040013835244864
TotalCharges_6205.5,0.010312903170017675
TotalCharges_5794.65,0.007937317104334624
TotalCharges_1023.9,0.007841845675669333
TotalCharges_91.7,0.0074665470921592226
TotalCharges_4242.35,0.007397724956305976
TotalCharges_2781.85,0.0069753782492300125
TotalCharges_4398.15,0.006814989099926807
TotalCharges_45.3,0.006665091631532282
TotalCharges_20.05,0.005723662424916397
PaymentMethod_Mailed check,0.005581483329740752
TotalCharges_3365.85,0.005476918613337252
TotalCharges_1029.75,0.0053971732720355945
TotalCharges_1174.35,0.005172090154558843
TotalCharges_874.2,0.005020871718504515
TotalCharges_131.05,0.004999393082674373
TotalCharges_3520.75,0.0048725727603042305
TotalCharges_858.6,0.004610690089108208
TotalCharges_3988.5,0.004156246197361448
Tenure_6-12 Months,0.004095655220591632
TotalCharges_4783.5,0.0040900486603220486
TotalCharges_195.3,0.004000391387857221
TotalCharges_2812.2,0.003956296842012042
PaymentMethod_Credit card (automatic),0.0038064839266916733
TotalCharges_100.2,0.0036829897903270918
TotalCharges_1743.9,0.003612854408466833
TotalCharges_1299.1,0.0036119558776434063
High_Value,0.0035908098646335223
TotalCharges_3694.7,0.0035510939704368628
TotalCharges_1672.1,0.003521051248152608
TotalCharges_84.5,0.003520114589545114
